,url,cadena,cine,direccion,precio,salas,Entrada,Día del espectador,La noche del Domingo,Menores 12 años,Mayores 65 años,Pack Familiar,Matinales,Martes y jueves,Fin de semana y festivos,Vuelve al cine,Carné joven,Primera sesión laborables,Última sesión domingos y festivos,"Viernes, sábados, domingos y festivos",Miércoles al cine,CP,Fin de semana,Socio
20,https://www.cinesa.es/cines/garbera/,Cinesa,Garbera,"Centro comercial Garbera De Garbera Bidea, 1 20015 San Sebastián-Donostia, Gipuzkoa","PRECIOS GENERALES Laborables (lunes a jueves y viernes hasta las 18:59) 9,50€ Fin de semana (viernes y vísperas de festivo desde las 19:00, sábados, domingos y festivos) 10,50€ SESIONES MATINALES Laborables (hasta las 14:59) 6,50€ Fin de semana y festivos (hasta las 14:59) 7,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 6,50€ myCINESA (todos los martes, excepto festivos) 6,50€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 años (de lunes a jueves y viernes hasta las 18:59, excepto festivos y víspera de festivos) 6,90€ Menores de 13 años (todos los días) 6,90€ SUPLEMENTOS Gafas 3D 1,50€ Sesiones 3D 1 €",7.0,9.5,,,6.9,6.9,,6.5,,,,6.9,,,,6.5,20015,10.5,6.5
21,https://www.cinesa.es/cines/grancasa/,Cinesa,Grancasa,"Centro comercial GranCasa Calle de María Zambrano, 35 50018 Zaragoza","PRECIOS GENERALES Todos los días 6,90€ Sesiones matinales (hasta las 14:59) 5,50€ DESCUENTOS CINESA Precio online (todos los días) 5,90€ Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 4,90€ myCINESA (todos los martes, excepto festivos) 4,90€ DESCUENTOS A COLECTIVOS Carné joven <26 años, carné universitario, mayores de 65 años y menores de 13 5,90€ Titulares carné familia numerosa (de lunes a jueves todo el día y viernes hasta las 18:59, excepto festivos y víspera de festivos)) 5,90€ SUPLEMENTOS Butaca VIP | 3D 1€ Gafas 3D 1,50 €",7.0,6.9,,,1.5,5.9,,5.9,,,,5.9,,,,4.9,50018,5.5,4.9
22,https://www.cinesa.es/cines/heron-city-las-rozas/,Cinesa,Heron City Las Rozas,"Centro comercial Heron City Las Rozas C. Camilo José Cela, 2 28232 Las Rozas de Madrid, Madrid","PRECIOS GENERALES Todos los días 9,50€ Sesiones matinales laborables (hasta las 14:59) 6,50€ Sesiones matinales fines de semana y festivos (hasta las 14:59) 6,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 6,20€ myCINESA (todos los martes, excepto festivos) 5,90€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 años (de lunes a jueves y viernes hasta las 18:59, excepto festivos y víspera de festivos) 6,90€  Carné joven <30 años, carné universitario y mayores de 65 años (viernes y vísperas de festivo desde las 19:00, sábado, domingo y festivos) 7,50€ Menores de 13 años (todos los días) 6,90€ SUPLEMENTOS Sala IMAX 3,00€ Gafas IMAX 1,50€ 3D 1€ Gafas 3D 1,50€ Butaca VIP 1,20€",24.0,9.5,,,6.9,7.5,,6.9,,,,7.5,,,,5.9,28232,6.5,6.9
23,https://www.cinesa.es/cines/intu-xanadu/,Cinesa,Intu Xanadú,"Centro comercial Intu Xanadú C. Puerto de Navacerrada, km 23, 5 28939 Arroyomolinos, Madrid","PRECIOS GENERALES Laborables (de lunes a jueves y viernes hasta las 18:59) 10,50€ Fin de semana (viernes y vísperas de festivo desde las 19:00, sábados, domingos y festivos) 11,50€ SESIONES MATINALES Laborables (hasta las 14:59) 6,90€ Fin de semana y festivos (hasta las 14:59) 7,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 6,90€ myCINESA (todos los martes, excepto festivos) 6,90€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 años (de lunes a jueves y viernes hasta las 18:59, excepto festivos y víspera de festivos) 7,90€ Menores de 13 años (todos los días) 7,90€ SUPLEMENTOS 3D 1€ Gafas 3D 1,50€ iSense LUXE 2,00€",14.0,10.5,,,7.9,6.9,,11.5,,,,6.9,,,,7.9,28939,10.5,6.9
24,https://www.cinesa.es/cines/la-farga/,Cinesa,La Farga,"Centro comercial La Farga Av. de Josep Tarradellas i Joan, 145 08901 L'Hospitalet de Llobregat, Barcelona","PRECIOS GENERALES Todos los días 9,50€ Sesiones matinales en días laborables (hasta las 14:59) 6,50€ Sesiones matinales en fin de semana y festivos (hasta las 14:59) 6,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 6,20€ myCINESA (todos los martes, excepto festivos) 5,90€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 años (de lunes a jueves y viernes hasta las 18:59, excepto festivos y víspera de festivos) 6,90€ Carné joven <30 años, carné universitario y mayores de 65 años (viernes y víspera de festivos desde las 19:00, sábados, domingos y festivos) 7,50€ Menores de 13 años (todos los días) 6,90€ SUPLEMENTOS 3D 1€ Gafas 3D 1,50€ Butaca VIP 1,20€",7.0,9.5,,,7.5,6.9,,6.5,,,,6.9,,,,6.2,08901,9.5,5.9
25,https://www.cinesa.es/cines/la-gavia/,Cinesa,La Gavia,"Centro comercial La Gavia C. Adolfo Bioy Casares, 2 28051 Madrid","PRECIOS GENERALES Todos los días 9,50€ Sesiones matinales en días laborables (hasta las 14:59) 6,50€ Sesiones matinales en fin de semana y festivos (hasta las 14:59) 6,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 6,20€ myCINESA (todos los martes, excepto festivos) 5,90€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 años (de lunes a jueves y viernes hasta las 18:59, excepto festivos y víspera de festivos) 6,90€ Carné joven <30 años, carné universitario y mayores de 65 años (viernes y vísperas de festivo desde las 19:00, sábados, domingos y festivos) 7,50€ Menores de 13 años (todos los días) 6,90€ SUPLEMENTOS 3D 1€ Gafas 3D 1,50€ Butaca VIP 1,20€",10.0,9.5,,,7.5,6.9,,6.5,,,,6.9,,,,6.2,28051,9.5,5.9
26,https://www.cinesa.es/cines/la-maquinista/,Cinesa,La Maquinista,"Centro comercial Westfield La Maquinista Carrer de la Ciutat d'Asunción s/n, Esquina Potosí 08030 Barcelona","PRECIOS GENERALES Laborables (de lunes a jueves y viernes hasta las 18:59) 9,50€ Fin de semana (viernes y vísperas de festivo desde las 19:00, sábados, domingos y festivos) 9,90€ SESIONES MATINALES Laborables (hasta las 14:59) 6,50€ Fin de semana y festivos (hasta las 14:59) 6,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 6,50€ myCINESA (todos los martes, excepto festivos) 5,90€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 años (de lunes a jueves y viernes hasta las 18:59, excepto festivos y víspera de festivos) 6,90€ Menores de 13 años (todos los días) 6,90€ SUPLEMENTOS DBOX 5,00€ Dolby 3,50€ LUXE 2,00€ 3D 1€ Gafas 3D 1,50€ Butaca vip 1,20€",12.0,9.5,,,6.9,6.9,,6.5,,,,6.9,,,,6.5,08030,9.9,5.9
27,https://www.cinesa.es/cines/la-moraleja/,Cinesa,La Moraleja,"Centro comercial Moraleja Green Av. de Europa, 13 28108 Alcobendas, Madrid","PRECIOS GENERALES Laborables (de lunes a jueves y viernes hasta las 18:59) 11,50€ Fin de semana (viernes y vísperas de festivo desde las 19:00, sábados, domingos y festivos) 12,90€ SESIONES MATINALES Laborables (hasta las 14:59) 6,90€ Fin de semana y festivos (hasta las 14:59) 7,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 7,50€ myCINESA (todos los martes, excepto festivos) 7,90€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 año (de lunes a jueves y viernes hasta las 18:59, excepto festivos y víspera de festivos) 7,90€ Menores de 13 años (todos los días) 7,90€ SUPLEMENTOS 3D 1€ Gafas 3D 1,50€ D-BOX 4,00€",8.0,11.5,,,7.9,7.9,,12.9,,,,7.9,,,,7.9,28108,11.5,7.5
28,https://www.cinesa.es/cines/las-rosas/,Cinesa,Las Rosas,"Las Rosas Av. de Guadalajara, 2 28032 Madrid","PRECIOS GENERALES Laborables (lunes a jueves y viernes hasta las 18:59) 6,90€ Fin de semana (viernes y vísperas de festivo desde las 19:00, sábados, domingos y festivos) 7,90€ Sesiones matinales (hasta las 14:59) 5,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 5,50€ myCINESA (todos los martes, excepto festivos) 4,90€ DESCUENTOS A COLECTIVOS Carné joven <26 años, carné universitario, menores de 13 y mayores de 65 años (todos los días) 5,90€ SUPLEMENTOS 3D 1€ Gafas 3D 1,50€",8.0,6.9,,,5.9,5.9,,5.9,,,,5.9,,,,5.5,28032,7.9,4.9
29,https://www.cinesa.es/cines/manoteras/,Cinesa,Manoteras,"Centro comercial Manoteras Av. de Manoteras, 40 28050 Madrid","PRECIOS GENERALES Laborables (lunes a jueves y viernes hasta las 18:59) 9,50€ Fin de semana (viernes y vísperas de festivo desde las 19:00, sábados, domingos y festivos) 10,50€ SESIONES MATINALES Laborables (hasta las 14:59) 6,50€ Fin de semana y festivos (hasta las 14:59) 7,90€ DESCUENTOS CINESA Miércoles al cine (miércoles todo el día, excepto festivos y víspera de festivo) 6,50€ myCINESA (todos los martes, excepto festivos) 6,50€ DESCUENTOS A COLECTIVOS Carné joven <30 años, carné universitario y mayores de 65 año (de lunes a jueves y viernes hasta las 18:59, excepto festivos y víspera de festivos) 6,90€ Menores de 13 años (todos los días) 6,90€ SUPLEMENTOS 3D 1€ Gafas 3D 1,50€ Butaca VIP 1,20€",20.0,9.5,,,6.9,6.5,,10.5,,,,6.5,,,,7.9,28050,9.5,6.5
